departamento;distrito;barrio
SAN PEDRO;GUAJAYVI;8 DE DICIEMBRE
SAN PEDRO;GUAJAYVI;PLANCHADA EVA
CAAZAPA;MOISES BERTONI;LOMA I
ALTO PARAGUAY;BAHIA NEGRA;COM INDIG PUERTO DIANA
CAAZAPA;CAAZAPA;SAN ANTONIO
ALTO PARAGUAY;PUERTO CASADO;COM INDIG LIVIO FARIÑA
;;
CANINDEYU;YPE JHU;COLONIA 8 DE DICIEMBRE
CANINDEYU;LA PALOMA;6 DE ENERO
CANINDEYU;YPE JHU;SAN JUAN
CANINDEYU;VILLA YGATIMÍ;LAS RESIDENTAS
CANINDEYU;CURUGUATY;TAKUARI  KILOMETRO 15
CANINDEYU;CURUGUATY;ASENT. 6TO ENCUADRE 1RA.LINEA 1
CENTRAL;YPACARAI;HUGUA HU
CONCEPCION;LORETO;COSTA FLORIDA
CENTRAL;SAN LORENZO;VIRGEN DE LOS REMEDIOS
CENTRAL;SAN LORENZO;SANTO REY
CAAGUAZU;JOSE DOMINGO OCAMPOS;SAN ANTONIO
CENTRAL;LIMPIO;ASENT.15 DE AGOSTO RINCON DEL PEÑON
CENTRAL;LUQUE;ASENT. TARUMANDY 1
CONCEPCION;SAN CARLOS;PASO BRAVO
;;
CENTRAL;ITA;KURUPIKA'YTY
;;
CONCEPCION;SGTO. JOSE FELIX LOPEZ;ZONA DE ESTANCIAS
CONCEPCION;HORQUETA;TOLDO KUE
;;
CENTRAL;CAPIATA;YVYRARO
CONCEPCION;CONCEPCION;POTRERO ROMERO
CORDILLERA;PRIMERO DE MARZO;ROJAS SILVA
PRESIDENTE HAYES;VILLA HAYES;PA'I ROBERTO
CORDILLERA;EUSEBIO AYALA;ACOSTA ÑU
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;ASENT. CORPUS CHRISTI CALLE 3000
CORDILLERA;EUSEBIO AYALA;CERRO PORTEÑO
CORDILLERA;EUSEBIO AYALA;INMACULADA
GUAIRA;TEBICUARY;LOMA PINDO
GUAIRA;DR. BOTTRELL;ÑUMI - SAN JOSE
GUAIRA;SAN SALVADOR;TRANQUERA SAN RAFAEL
GUAIRA;NATALICIO TALAVERA;PASO ITA
GUAIRA;MBOCAYATY;SANTA BARBARA
GUAIRA;ITAPE;CERRITO
GUAIRA;COLONIA INDEPENDENCIA;YROYSA LINEA 8
GUAIRA;MAURICIO JOSE TROCHE;KORA GUASU
ITAPUA;CORONEL BOGADO;TELLEZ KUE
SAN PEDRO;SANTA ROSA DEL AGUARAY;SANTA BARBARA CALLE SAN ISIDRO
SAN PEDRO;GENERAL RESQUIN;SAN VICENTE CALLE SAN RAMON KAATY-I
SAN PEDRO;SANTA ROSA DEL AGUARAY;SANTA BARBARA CALLE SAN ANTONIO
GUAIRA;VILLARRICA;14 DE MAYO
;;
ITAPUA;ITAPUA POTY;KATUPYRY 70
;;
ITAPUA;ITAPUA POTY;PIROY
;;
ITAPUA;PIRAPO;PUERTO PIRAPO
;;
ITAPUA;PIRAPO;AKA KARAJA
;;
;;
ITAPUA;PIRAPO;KA'ARENDY
;;
;;
;;
ITAPUA;PIRAPO;COLONIA PIRAPO
ITAPUA;SAN JUAN DEL PARANA;SAN LUIS
ITAPUA;SAN JUAN DEL PARANA;SANTA LIBRADA SUB- URBANO
ITAPUA;SAN JUAN DEL PARANA;SANTA ROSA DEL GUAVIJU
ITAPUA;LA PAZ;CALLE P
;;
ITAPUA;LA PAZ;SANTA ROSA
ITAPUA;ALTO VERA;ASENT. 3 DE JUNIO TRANSLUMBRE
;;
;;
;;
ITAPUA;EDELIRA;PIRAPEY  50 AL 65
ITAPUA;SAN PEDRO DEL PARANA;POTRERO DUARTE
ITAPUA;SAN PEDRO DEL PARANA;SAN CAYETANO
ITAPUA;FRAM;BARRIO OBRERO
ITAPUA;GENERAL ARTIGAS;HUGUA PO'I 2
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;ASENT. CORPUS CHRISTI CALLE 2000
ITAPUA;CORONEL BOGADO;MBUTUY
ITAPUA;CARLOS ANTONIO LOPEZ;SAN LORENZO-SUB URBANO
ITAPUA;BELLA VISTA;ZONA VACAY 10 Y 13
ITAPUA;BELLA VISTA;ZONA LA TRINIDAD Y FORDI 15
ITAPUA;ENCARNACION;CERRITO
MISIONES;YABEBYRY;GALEANO KUE
MISIONES;SANTIAGO;SAN MIGUEL
MISIONES;SANTA ROSA;ZAPATERO KUE
;;
MISIONES;SANTA ROSA;FATIMA
MISIONES;SAN IGNACIO;JAGUARY
;;
PARAGUARI;YAGUARON;CERRO GUY
CAAGUAZU;DR. JUAN MANUEL FRUTOS;SAN ISIDRO 1RA LINEA
PARAGUARI;SAN ROQUE GONZALEZ;SAGRADO CORAZON DE JESUS
PARAGUARI;QUIINDY;COSTA GAONA
;;
PARAGUARI;QUIINDY;COSTA IRALA
CAAGUAZU;DR. JUAN MANUEL FRUTOS;SAN ISIDRO 2DA LINEA
PARAGUARI;PIRAYU;COSTA HU
;;
PARAGUARI;PIRAYU;CERRO LEON
;;
PARAGUARI;PIRAYU;CERRO VERA
PARAGUARI;CARAPEGUA;FRANCO ISLA
PARAGUARI;CARAPEGUA;BENI LOMA
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG NICH´A TOYISH-1RO DE MARZO
;;
;;
;;
;;
PARAGUARI;CAAPUCU;MONTIEL POTRERO
;;
;;
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;ZONA PARA TODO
PRESIDENTE HAYES;VILLA HAYES;ASENT. SUEÑOS Y ESPERANZAS
PRESIDENTE HAYES;BENJAMIN ACEVAL;COSTA
;;
SAN PEDRO;GUAJAYVI;BARRIO SAN PEDRO
;;
SAN PEDRO;GUAJAYVI;ALMEIDA
SAN PEDRO;UNION;CERRO MONTE ALTO
SAN PEDRO;TACUATI;ISLA GUASU
;;
SAN PEDRO;TACUATI;KAPI´ITINDY
SAN PEDRO;LIMA;ASENT. VILLA JUVENTUD
SAN PEDRO;ANTEQUERA;KILOMETRO 3
SAN PEDRO;SAN PEDRO DEL YKUAMANDIYU;INMACULADA 1
CAAZAPA;SAN JUAN NEPOMUCENO;COM INDIG TAKUARO
;;
;;
;;
;;
SAN PEDRO;25 DE DICIEMBRE;ISLA HOVY
;;
CORDILLERA;CARAGUATAY;ISLA PUCU
CAAGUAZU;CORONEL OVIEDO;ASENT. 3 DE NOVIEMBRE
CORDILLERA;CARAGUATAY;ROLON
CORDILLERA;MBOCAYATY DEL YHAGUY;LAGUNA
GUAIRA;PASO YOBAI;CAPI'I
GUAIRA;PASO YOBAI;ASENT. KAVAJU RY
GUAIRA;PASO YOBAI;KAVAJU RY
GUAIRA;PASO YOBAI;LA VICTORIA
GUAIRA;PASO YOBAI;ALBORADA
CAAGUAZU;CORONEL OVIEDO;ASENT. LA GLORIA
BOQUERON;FILADELFIA;COM INDIG 15 DE SETIEMBRE
ALTO PARANA;NARANJAL;ALTO PARAISO
;;
ALTO PARANA;NARANJAL;PALMITAL
;;
ALTO PARANA;NARANJAL;COLONIA 3 DE MAYO
;;
CAAZAPA;ABAI;KUATI I
;;
ALTO PARANA;SAN CRISTOBAL;VIRGEN DEL PILAR
CAAZAPA;ABAI;TUNA
CANINDEYU;YASY KAÑY;COM INDIG PAKURI STA LIBRADA
ITAPUA;ALTO VERA;COM INDIG CERRITO
CAAGUAZU;CAAGUAZU;GUAJAKI
CENTRAL;NUEVA ITALIA;JUKYTY
CAAZAPA;ABAI;COLONIA MICHIMI
CAAZAPA;ABAI;AMAMBAY
ALTO PARANA;SAN ALBERTO;8 DE DICIEMBRE
ITAPUA;SAN RAFAEL DEL PARANA;APE AIME
ITAPUA;CAPITAN MEZA;EDELIRA KILOMETRO 6 AL 9
ITAPUA;CAMBYRETA;ARROYO PORA  SUB-URBANO
;;
SAN PEDRO;GUAJAYVI;NARANJA HAI
SAN PEDRO;GUAJAYVI;CAREAGA KUE
CAAZAPA;ABAI;PIRAY
ALTO PARANA;TAVAPY;TAVAPY 1
ALTO PARANA;JUAN E. O´LEARY;SAN JOSE OBRERO
SAN PEDRO;CHORE;4 BOCAS
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;ASENT. SAN JORGE
ALTO PARANA;TAVAPY;CENTRO
;;
;;
;;
;;
PRESIDENTE HAYES;BENJAMIN ACEVAL;ZONA POZO AZUL
;;
;;
PRESIDENTE HAYES;BENJAMIN ACEVAL;ZONA CERRITO
;;
ALTO PARANA;SAN CRISTOBAL;COLONIA TRES NACIENTES
CAAGUAZU;YHU;SANTA LIBRADA
ITAPUA;TOMAS ROMERO PEREIRA;SAN MIGUEL 1
BOQUERON;LOMA PLATA;COM INDIG OLERIA LOMA PLATA
ALTO PARANA;SAN ALBERTO;SAN RAMON SUB-URBANO
ALTO PARANA;SANTA RITA;KARAJA
CAAGUAZU;YHU;COLONIA MARISCAL LOPEZ
CONCEPCION;LORETO;HUGUA PO´I
CAAGUAZU;YHU;SAN MIGUEL
CONCEPCION;LORETO;HUGUA PO´I SAN RAFAEL
ALTO PARANA;MBARACAYU;GLEVA 3 MBARACAYU
ALTO PARANA;MBARACAYU;COLONIA GUARANI
ALTO PARANA;SANTA RITA;BARRIO ALEJANDRINO
CAAGUAZU;CAAGUAZU;ASENT. SANTA LIBRADA
ITAPUA;CAPITAN MEZA;CAPITAN MEZA KILOMETRO 16 B
CAAGUAZU;R.I. 3 CORRALES;CALLE 12
CAAGUAZU;J EULOGIO ESTIGARRIBIA;MARACANA
ALTO PARANA;MINGA PORA;8 DE DICIEMBRE SUB URBANO
CAAGUAZU;J EULOGIO ESTIGARRIBIA;KO'E RORY
CONCEPCION;CONCEPCION;SAN JORGE
CENTRAL;LIMPIO;ASENT. SANTA ROSA
CAAGUAZU;J EULOGIO ESTIGARRIBIA;SAN JORGE
;;
ALTO PARANA;MINGA PORA;LIMOY
AMAMBAY;ZANJA PYTA;PERPETUO SOCORRO
CAAGUAZU;CORONEL OVIEDO;VILLA MOREIRA
ALTO PARANA;MINGA PORA;SAN FRANCISCO
ALTO PARANA;MINGA PORA;SANTA CECILIA
BOQUERON;FILADELFIA;GNADEIHEIM
ALTO PARANA;MINGA PORA;ENTRE RIOS
ALTO PARANA;MINGA PORA;LOTE 6 Y 7
BOQUERON;MARISCAL ESTIGARRIBIA;CRUCE DON SILVIO
CENTRAL;YPANE;8 DE DICIEMBRE
CAAGUAZU;YHU;SANTA ELENA
ALTO PARANA;YGUAZU;SAN VALENTIN
CAAGUAZU;YHU;SANTA CATALINA I
CAAGUAZU;YHU;4TA LINEA STA CATALINA
ALTO PARANA;MINGA GUAZU;VIRGEN DEL CARMEN
CAAGUAZU;CAAGUAZU;ASENT. TORO BLANCO
ALTO PARANA;MINGA GUAZU;CALLE 30 ACARAY SAN MARCOS SUB-URBANO
CAAGUAZU;SAN JOSE DE LOS ARROYOS;KAAGUY KUPE
CAAGUAZU;YHU;CALLE SAN PEDRO
SAN PEDRO;SANTA ROSA DEL AGUARAY;MARIA AUXILIADORA
ALTO PARANA;ÑACUNDAY;PARANAMBU 2
CAAGUAZU;CAAGUAZU;PARAJE GUASU
CAAGUAZU;CORONEL OVIEDO;MARISTAS II
ALTO PARANA;ITAKYRY;CENTRO
CENTRAL;J AUGUSTO SALDIVAR;ASENT. OÑONDIVEPA
CENTRAL;J AUGUSTO SALDIVAR;ASENT. 10 DE AGOSTO
CAAGUAZU;CORONEL OVIEDO;KAITA
;;
ALTO PARANA;ITAKYRY;ACARAY COSTA
;;
ALTO PARANA;ITAKYRY;TAKUARA
CENTRAL;J AUGUSTO SALDIVAR;SAN RAFAEL
ALTO PARANA;ITAKYRY;YVY TIMBO
BOQUERON;MARISCAL ESTIGARRIBIA;PIRIZAL
CENTRAL;J AUGUSTO SALDIVAR;LOS GLADIOLOS
ALTO PARANA;ITAKYRY;ASENT. SAN PABLO
ALTO PARANA;ITAKYRY;ASENT. SAN ISIDRO
ALTO PARANA;ITAKYRY;ASENT. PARAGUAY PYAHU
ALTO PARANA;ITAKYRY;TREINTA Y CINCO
BOQUERON;LOMA PLATA;VILLA BOQUERON SUB-URBANO
SAN PEDRO;TACUATI;PLANTA 1
;;
AMAMBAY;PEDRO JUAN CABALLERO;ESTANCIAS PA'I KUARA Y ARROYO BLANCO
ÑEEMBUCU;PILAR;SAN VICENTE
;;
ALTO PARANA;ITAKYRY;COLORADO'I
ALTO PARANA;ITAKYRY;SANTA MARIA 2
ALTO PARANA;ITAKYRY;26 DE MARZO
ALTO PARANA;ITAKYRY;ASENT. . CHINO KUE - SEGUNDA LINEA
CAAGUAZU;YHU;DEPOSITO KUE 2DA LINEA
ALTO PARANA;ITAKYRY;ESTANCIA SAN MARCOS
CAAGUAZU;YHU;MARISCAL LOPEZ
CANINDEYU;ITANARA;ASENT. SAN ROQUE
ALTO PARANA;PRESIDENTE FRANCO;CONAVI SAN ISIDRO
GUAIRA;FELIX PEREZ CARDOZO;SANTA ELENA
ALTO PARANA;HERNANDARIAS;PASO ITA
SAN PEDRO;SANTA ROSA DEL AGUARAY;ASENT. JARDIN DEL NORTE
CENTRAL;J AUGUSTO SALDIVAR;ASENT. SANTA ROSA
ALTO PARANA;DR. JUAN LEON MALLORQUIN;KA'A RENDY GUASU
ALTO PARANA;DR. JUAN LEON MALLORQUIN;CRISTO REY 4000
ALTO PARANA;DR. JUAN LEON MALLORQUIN;KA'ARENDY GUASU SAN CRISTOBAL
BOQUERON;LOMA PLATA;COLONIA GNADENFELT
ALTO PARANA;DOMINGO MARTINEZ DE IRALA;COLONIA JEPOPYHY  SUB-URBANO
ALTO PARANA;PRESIDENTE FRANCO;SAN ROQUE
CAAGUAZU;SAN JOSE DE LOS ARROYOS;COSTA PUKU
;;
AMAMBAY;CAPITAN BADO;PUERTO PANADERO
;;
;;
;;
AMAMBAY;CAPITAN BADO;ESTANCIA SAN CAMILO
;;
AMAMBAY;BELLA VISTA;EST. DON GUALBERTO
AMAMBAY;BELLA VISTA;SAN LORENZO
BOQUERON;MARISCAL ESTIGARRIBIA;VIRGEN DE FATIMA
CAAGUAZU;YHU;DESVIO SAN CARLOS
;;
AMAMBAY;PEDRO JUAN CABALLERO;YVYPE
AMAMBAY;PEDRO JUAN CABALLERO;REPUBLICA
AMAMBAY;BELLA VISTA;CASUALIDAD
AMAMBAY;BELLA VISTA;LAS MERCEDES
BOQUERON;FILADELFIA;CENTRO
CAAGUAZU;YHU;TARUMA
ITAPUA;TRINIDAD;SAN LORENZO
;;
AMAMBAY;PEDRO JUAN CABALLERO;COLONIA 204
BOQUERON;LOMA PLATA;COM INDIG PESEMPO´O
BOQUERON;LOMA PLATA;ALDEA FRIEDENSFELD
BOQUERON;LOMA PLATA;ALDEA SCHONTAL
BOQUERON;LOMA PLATA;ALDEA LICHTFELD
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA POZO HONDO SUB-URBANO
BOQUERON;MARISCAL ESTIGARRIBIA;COLONIA 50
CAAGUAZU;CORONEL OVIEDO;CALLE DUARTE
;;
;;
CAAGUAZU;NUEVA TOLEDO;PALOMARES
;;
CAAGUAZU;NUEVA TOLEDO;COLONIA MARGARITA
CAAGUAZU;JOSE DOMINGO OCAMPOS;SAN FRANCISCO
CAAGUAZU;YHU;SAN ISIDRO
CAAGUAZU;NUEVA TOLEDO;SAN JUAN
ITAPUA;CAPITAN MEZA;SAN PABLO
CAAGUAZU;VAQUERIA;SANTO DOMINGO
CAAGUAZU;3 DE FEBRERO;REMANSO
;;
CAAGUAZU;3 DE FEBRERO;JUKERI
CAAGUAZU;3 DE FEBRERO;ZAPALLO
CAAGUAZU;SAN JOSE DE LOS ARROYOS;POTRERO IRALA
CANINDEYU;YPE JHU;SAN ISIDRO
;;
CAAGUAZU;RAUL ARSENIO OVIEDO;PANAMBI
CAAGUAZU;R.I. 3 CORRALES;CALLE 22
CAAGUAZU;J EULOGIO ESTIGARRIBIA;BUENA VISTA
CAAGUAZU;CORONEL OVIEDO;CARAGUATAY MI
CANINDEYU;YASY KAÑY;SOL NACIENTE
CONCEPCION;CONCEPCION;BOQUERON
CAAGUAZU;CAAGUAZU;ASENT. SANTA ISABEL
CENTRAL;VILLETA;ASENT. SANTA ANA  NARANJAISY
CAAGUAZU;SAN JOAQUIN;QUINTA I
CAAGUAZU;YHU;SANTA LIBRADA I
CAAGUAZU;SAN JOSE DE LOS ARROYOS;SANTA RITA
GUAIRA;PASO YOBAI;ASENT. ZANJA PYTA
CAAGUAZU;CAAGUAZU;MBOKAJATY
CAAGUAZU;DR. JUAN MANUEL FRUTOS;MARIA AUXILIADORA
CAAGUAZU;SAN JOAQUIN;LAGUNA PYTA
CAAGUAZU;SAN JOSE DE LOS ARROYOS;SAN IGNACIO DE LOYOLA
CAAGUAZU;SAN JOSE DE LOS ARROYOS;PTE FRANCO SUB URBANO
CAAGUAZU;REPATRIACION;TEJU
CAAGUAZU;REPATRIACION;2DA LINEA IRRAZABAL NORTE
CAAGUAZU;REPATRIACION;4TA LINEA EUGENIO A. GARAY
CAAGUAZU;DR. JUAN MANUEL FRUTOS;SANTA CLARA
CENTRAL;VILLETA;SAN JUAN
CAAGUAZU;SANTA ROSA DEL MBUTUY;URBANO
CAAGUAZU;SANTA ROSA DEL MBUTUY;MBUTUY I
CANINDEYU;CORPUS CHRISTI;COLONIA PINDOTY PORA SUB-URBANO
CAAGUAZU;CARAYAO;LAS MERCEDES
CANINDEYU;CORPUS CHRISTI;VILLA ALTA
CAAGUAZU;CARAYAO;ARROYO HONDO
CAAGUAZU;CARAYAO;ASENT. SAN MIGUEL
CAAGUAZU;CARAYAO;CAMPO REDONDO
CAAGUAZU;CARAYAO;CERRO KORA - MARIA AUXILIADORA
CAAGUAZU;CAAGUAZU;YPYTA
CAAGUAZU;CAAGUAZU;COSTA ROSADO
CAAGUAZU;CORONEL OVIEDO;SANTA LIBRADA
CAAGUAZU;CAAGUAZU;TEBIKUARY MI
CAAGUAZU;CAAGUAZU;CRISTO REY
CAAGUAZU;CAAGUAZU;CALLE 9 SAN PEDRO
CAAGUAZU;CAAGUAZU;CALLE PALMA
CAAGUAZU;CAAGUAZU;1RO DE MAYO
CAAGUAZU;CAAGUAZU;JUKYRY CENTRAL
CAAGUAZU;CAAGUAZU;4TA LINEA AGUA
CAAGUAZU;CORONEL OVIEDO;PIQUETE KUE
CAAGUAZU;CAAGUAZU;YTU
CAAGUAZU;CAAGUAZU;ARROYO MOROTI
CAAGUAZU;CAAGUAZU;VILLA TRIUNFO
CAAGUAZU;CORONEL OVIEDO;CHIRKATY - SUB-URBANO
CAAGUAZU;CAAGUAZU;POTRERO GUAJAKI SUB URBANO
ALTO PARAGUAY;BAHIA NEGRA;COM INDIG 14 DE MAYO-KARCHABALUT
CENTRAL;ITAUGUA;ASENT. VIRGEN DEL ROSARIO
CENTRAL;ITAUGUA;ASENT. ALDAMA CAÑADA 2
CAAZAPA;3 DE MAYO;RINCON
ITAPUA;CAPITAN MEZA;COLONIA NUEVA
ITAPUA;CAPITAN MEZA;SANTA ROSA
CAAZAPA;YUTY;KURUPI
CAAZAPA;TAVAI;ATONGUE
CANINDEYU;CURUGUATY;ASENT. TAVAI JOPOI
CAAZAPA;TAVAI;ÑU KAÑY
CAAZAPA;SAN JUAN NEPOMUCENO;HUGUA PUKU
CAAZAPA;SAN JUAN NEPOMUCENO;SAN IGNACIO
ITAPUA;HOHENAU;UNIVERSITARIO
CAAZAPA;MACIEL;COSTA DULCE
CAAZAPA;MACIEL;SAN FRANCISCO MI
;;
CAAZAPA;GENERAL HIGINIO MORINIGO;SAN ANTONIO
CAAZAPA;GENERAL HIGINIO MORINIGO;GUYRA KEHA
CAAZAPA;SAN JUAN NEPOMUCENO;LORITO
;;
;;
CAAZAPA;SAN JUAN NEPOMUCENO;TAPYTA
CAAZAPA;SAN JUAN NEPOMUCENO;ASENT. MANDUARA
CANINDEYU;YASY KAÑY;ASENT. ACEPAR 1
ALTO PARAGUAY;BAHIA NEGRA;COM INDIG PUERTO ESPERANZA-INIHTA
CAAZAPA;BUENA VISTA;YAPEPO
CAAZAPA;SAN JUAN NEPOMUCENO;CERRITO
CAAZAPA;SAN JUAN NEPOMUCENO;TEBICUARYMI
CANINDEYU;SALTOS DEL GUAIRA;SALTO DEL GUAIRA KILOMETRO 20
CANINDEYU;YBYRAROBANA;11 DE SETIEMBRE
CAAZAPA;SAN JUAN NEPOMUCENO;EMPALADOS
SAN PEDRO;ITACURUBI DEL ROSARIO;CAROLINA
CONCEPCION;HORQUETA;CAÑADA SAN JUAN
;;
CANINDEYU;KATUETE;FAZENDA PALOMA
CAAZAPA;CAAZAPA;GALEANO KUE
CANINDEYU;LA PALOMA;SAN BLAS
CONCEPCION;HORQUETA;ARROYITO
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;ARENA BLANCA
CAAZAPA;CAAZAPA;HUGUA GUASU
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN JUAN 2
CONCEPCION;HORQUETA;NUCLEO 7
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;ASENT. SAN JUAN
;;
;;
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;COLONIA SAN LUIS
CENTRAL;GUARAMBARE;ASENT. SAN RAFAEL
CANINDEYU;YASY KAÑY;GUAJAYVI
;;
CANINDEYU;VILLA YGATIMÍ;BRITEZ KUE
CANINDEYU;CURUGUATY;CERRITO
CONCEPCION;SAN CARLOS;VISTA ALEGRE
CANINDEYU;CURUGUATY;ASENT. MARACANA 1
CANINDEYU;CURUGUATY;6TO ENCUADRE 1RA. LINEA
CANINDEYU;LA PALOMA;SANTA RITA
CANINDEYU;CURUGUATY;PASO REAL
;;
CANINDEYU;SALTOS DEL GUAIRA;IBEL
CANINDEYU;SALTOS DEL GUAIRA;1RO DE MAYO
SAN PEDRO;YATAITY DEL NORTE;6 DE ENERO
CENTRAL;YPANE;ASENT. SAGRADO CORAZON
CENTRAL;YPANE;ASENT. MARISCAL LOPEZ
CANINDEYU;CURUGUATY;YVYPYTA  COLONIA 8 DE DICIEMBRE
CANINDEYU;KATUETE;KUMANDA KAI
CONCEPCION;YVY YA´U;ASENT. AGUYJE
ÑEEMBUCU;VILLA FRANCA;BANCO PARAGUAY
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;SAN ROQUE
CANINDEYU;CURUGUATY;ASENT. 6TO ENCUADRE 1RA. LINEA 2
ITAPUA;ENCARNACION;ZONA ALTA
CANINDEYU;FRANCISCO CABALLERO ALVAREZ;COLONIA SAN LUIS
CANINDEYU;CURUGUATY;SAN JOSE OBRERO
CANINDEYU;CURUGUATY;ASENT. 4TO ENCUADRE MARACANA
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG CASANILLO-SAN RAFAEL
CENTRAL;VILLETA;SAN JORGE
CENTRAL;J AUGUSTO SALDIVAR;YVYRARO 1
;;
;;
CONCEPCION;SAN LAZARO;ZONA ESTANCIAS
CENTRAL;SAN ANTONIO;ACOSTA ÑU
CENTRAL;J AUGUSTO SALDIVAR;SANTA MARIA
CENTRAL;LUQUE;ASENT. TARUMANDY 2
PRESIDENTE HAYES;TTE 1RO MANUEL IRALA FERNANDEZ;COM INDIG POZO AMARILLO
CENTRAL;SAN ANTONIO;SAN JORGE
CONCEPCION;SAN LAZARO;SANTA ELENA
CENTRAL;SAN ANTONIO;MARIA AUXILIADORA
CONCEPCION;LORETO;LAGUNA CABECERA
CENTRAL;ITAUGUA;ASENT. ALDAMA CAÑADA
CENTRAL;ITAUGUA;ASENT. CAÑADITA
SAN PEDRO;ITACURUBI DEL ROSARIO;ISLA CARAYA
CENTRAL;LIMPIO;PIQUETE KUE SANTA LUCIA
CENTRAL;LIMPIO;RINCON DEL PEÑON FRACCION SANTA ROSA
CENTRAL;GUARAMBARE;ASENT. COLON
CONCEPCION;SGTO. JOSE FELIX LOPEZ;ASENT. 29 DE JUNIO
CENTRAL;LIMPIO;ISLA AVEIRO EL EUCALIPTAL
CONCEPCION;SGTO. JOSE FELIX LOPEZ;LA SUERTE
CENTRAL;FERNANDO DE LA MORA;SAN ANTONIO
CENTRAL;GUARAMBARE;ASENT. KAUGUA
CENTRAL;GUARAMBARE;COLON
CENTRAL;AREGUA;ASENT. VILLA DEL MAESTRO
CONCEPCION;YVY YA´U;PASO JHU
CENTRAL;FERNANDO DE LA MORA;LAGUNA SATI
CONCEPCION;SAN LAZARO;CERRO MORADO
CONCEPCION;YVY YA´U;SAN ROQUE
CONCEPCION;AZOTEY;SANTA LIBRADA
CONCEPCION;YVY YA´U;CRUCE BELLA VISTA
